Otu,Size,ID,Organism_Class,Organism_Order,Trophic function,Trophic status,Lifestyle,Growth form,#Accession,%identite,Longueur,BitScore,Gateway Hill-M6-1-Min10,Gateway Hill-M6-2-Min10,Gateway Hill-M6-3-Min10,Gateway Hill-M7-1-Min10,Gateway Hill-Sw-1-Org,Gateway Hill-Sw-1-Roots,Gateway Hill-Sw-1-Min10,Gateway Hill-Sw-1-Min35,Gateway Hill-Sw-2-Org,Gateway Hill-Sw-2-Roots,Gateway Hill-Sw-2-Min10,Gateway Hill-Sw-2-Min35,Gateway Hill-M2-1-Min10,Gateway Hill-M2-2-Min10,Gateway Hill-M2-3-Min10,Gateway Hill-M7-2-Min10,Gateway Hill-M7-3-Min10,Gateway Hill-M8-1-Min10,Gateway Hill-M8-2-Min10,Gateway Hill-M8-3-Min10,Gateway Hill-M14-1-Min10,Gateway Hill-M14-2-Min10,Gateway Hill-M14-3-Min10,Fort Chipewayn-TR1B-1-Min10,Fort Chipewayn-TR1B-2-Min10,Fort Chipewayn-TR1B-3-Min10,Fort Chipewayn-TR1P-1-Min10,Fort Chipewayn-TR1P-2-Min10,Fort Chipewayn-TR1P-3-Min10
OTU_1,77630,Wilcoxina rehmii isolate T3PK24 small su,Pezizomycetes,Pezizales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,JX907827.1,100,318,0,380,2124,665,7574,349,600,4079,6968,4241,4534,2287,3361,2851,2811,777,3809,1,26046,541,550,30,2712,296,1,17,6,7,3,10
OTU_2,57575,Mortierella alpina isolate ATT234 18S ri,Incertae sedis,Mortierellales,Saprotroph,Saprotroph,Saprotroph,,HQ607903.1,100,303,0,1217,489,204,23356,29,5,12,70,105,127,66,122,603,770,119,22764,921,4248,113,52,1453,405,291,0,15,1,7,4,7
OTU_3,41683,Gymnopus dryophilus voucher HC-PNNT-041 ,Agaricomycetes,Agaricales,Saprotroph,Saprotroph,Saprotroph,,KT874997.1,100,315,0,0,8670,0,7,0,0,0,3,0,0,0,0,1,13,1,30116,0,2859,4,1,0,1,1,1,4,1,0,0,0
OTU_4,38409,Phlebiella sp. 128 VM-2015 18S ribosomal,Agaricomycetes,Polyporales,Saprotroph,Saprotroph,Saprotroph,,KP783450.1,99,300,0,0,0,0,0,13414,16365,5855,1823,843,12,11,4,0,0,0,0,0,33,0,48,0,0,0,0,0,0,1,0,0
OTU_5,34480,Pseudogymnoascus pannorum strain MKOTU5 ,Leotiomycetes,Incertae sedis,Saprotroph/Pathogen,Saprotroph,Pathogen,,KP714598.1,100,302,0,1139,2530,2503,12243,44,17,90,221,15,20,141,174,262,113,16,11057,1305,1812,117,115,81,168,107,15,39,15,23,77,21
OTU_6,31931,Hebeloma monticola voucher UPS:SM6133 sm,Agaricomycetes,Agaricales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KX765772.1,99.7,368,0,0,1,4,0,0,0,0,0,1669,9721,10130,10108,30,83,31,0,5,146,0,3,0,0,0,0,0,0,0,0,0
OTU_7,31455,Amphinema byssoides UC2022815 18S riboso,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KP814524.1,100,301,0,16107,238,7678,8,30,112,150,174,682,3284,1030,1049,0,1,0,1,1,3,1,0,453,147,305,0,0,0,1,0,0
OTU_8,27703,Geminibasidium hirsutum strain DAOM 2419,Wallemiomycetes,Geminibasidiales,Saprotroph,Saprotroph,Saprotroph,,JX242880.1,95.1,265,0,4,0,0,0,13,19,57,144,2,6,136,156,3,1,1,62,5,62,1,3,2,1,3,1786,15718,2972,2027,3762,757
OTU_9,26129,Leucoagaricus bonii voucher AC4911 small,Agaricomycetes,Agaricales,Saprotroph/White rot,Saprotroph,White rot,White rot,KT992147.1,98.1,414,0,11111,4551,8122,3,0,0,0,0,0,0,0,0,0,0,0,1727,18,0,596,0,0,0,0,0,1,0,0,0,0
OTU_10,22571,Mortierella sp. FSU 10731 internal trans,Incertae sedis,Mortierellales,Saprotroph,Saprotroph,Saprotroph,,KC018255.1,100,233,0,105,244,829,2549,2,0,0,0,0,0,1,0,43,162,21,16140,618,1690,112,10,6,10,4,2,14,1,4,2,2
OTU_11,21892,Wilcoxina sp. RMD 2136 18S ribosomal RNA,Pezizomycetes,Pezizales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,U38569.1,99.5,217,0,37,19,20677,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,31,174,0,0,0,0,0,0
OTU_12,21070,Mortierella sp. TR158 18S ribosomal RNA ,Incertae sedis,Mortierellales,Saprotroph,Saprotroph,Saprotroph,,HQ608143.1,100,301,0,1,1,0,0,5,6,80,351,2,0,14,18,2,4,0,34,0,29,2,0,2,0,1,789,6266,2196,907,1369,8991
OTU_13,20025,"Ramaria abietina 18S rRNA gene, 5.8S rRN",Agaricomycetes,Gomphales,Symbiotroph/Ectomycorrhizal/white rot,Symbiotroph,Ectomycorrhizal,White rot,AJ408383.1,99.3,301,0,5,2,3,541,0,0,0,0,0,0,0,0,1,0,2124,15280,1,20,188,1859,0,0,0,1,0,0,0,0,0
OTU_14,19798,Tomentella sp. OTU204 18S ribosomal RNA ,Agaricomycetes,Thelephorales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,HQ215811.1,96.3,295,0,0,17468,0,7,0,0,0,0,0,0,0,0,0,9,895,0,1417,1,0,0,0,0,1,0,0,0,0,0,0
OTU_15,19012,Helvellosebacina sp. TUB 020028 18S ribo,,,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KF000456.1,97,302,0,0,0,0,0,125,789,7352,10741,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_16,17753,Mortierella alpina isolate KK9 small sub,Incertae sedis,Mortierellales,Saprotroph,Saprotroph,Saprotroph,,KY322645.1,100,279,0,1669,51,1154,4755,5,0,0,3,2,1,4,1,80,715,3,880,612,7230,55,16,249,4,8,8,3,3,28,26,188
OTU_17,17656,Inocybe flocculosa strain HRL1870 small ,Agaricomycetes,Agaricales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KX897453.1,100,367,0,0,0,0,0,0,0,1,0,5663,763,6950,4086,189,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
OTU_18,17455,Russula sp. GAL15390 internal transcribe,Agaricomycetes,Russulales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,EU711768.1,98.5,266,0,0,0,0,2,2,1,1,0,0,0,1,5,0,0,0,1,1,4,0,1,0,1,0,207,17226,1,1,0,0
OTU_19,17016,Russula decolorans voucher SMI265 18S ri,Agaricomycetes,Russulales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,FJ845432.1,100,313,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,2,1,1,0,5919,109,1,3,10974,0
OTU_20,16300,Russula globispora voucher UPS:AT2004140,Agaricomycetes,Russulales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KU928145.1,99.6,275,0,0,0,0,0,0,43,1914,5457,27,847,4187,3825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_21,15528,"Sagenomella humicola genes for 18S rRNA,",Eurotiomycetes,Eurotiales,Saprotroph,Saprotroph,Saprotroph,,LC177649.1,99.1,321,0,0,0,16,1,0,0,1,0,0,0,2,2,31,41,19,7,0,117,5,0,0,68,27,22,14983,37,10,16,123
OTU_22,15374,Tomentella sp. OTU204 18S ribosomal RNA ,Agaricomycetes,Thelephorales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,HQ215811.1,98.3,295,0,0,0,0,0,0,0,0,1,2751,4391,4590,3388,156,17,75,0,0,0,0,5,0,0,0,0,0,0,0,0,0
OTU_23,13865,Tomentella sp. 17 SE-2015 internal trans,Agaricomycetes,Thelephorales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KT275619.1,98.3,301,0,0,0,0,1,423,1091,4849,5591,0,0,0,3,0,0,0,2,0,0,0,0,0,1773,132,0,0,0,0,0,0
OTU_24,13710,Fusarium sp. isolate JM_TPF1029 18S ribo,Sordariomycetes,Hypocreales,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,KY081693.1,100,280,0,402,142,787,800,10,0,0,2,7,7,4,1,32,22,2,1627,136,9620,19,2,44,16,18,0,2,1,4,2,1
