,SampleShort,Sample,SiteShort,Rep,Type,Type_MO,SiteFull,TreeSp,TreeStat,SoilPlc_D,Plant_D,RegenYr,TreeDBHAv_cm,OrgDepAv_cm,Orgtype,SoilSam_D,SporSam_D,DistYear,DistType,LatN_Dd,LonW_Dd,Zone,East_m,North_m,PhotoStd,PhotoTrn,Loc,StandStg,GrdCover,MinType,TreeDBH_cm,OrgDep_cm,ReclaimStat,org_NO3,org_NH4,org_totalN,org_P,min_NO3,min_NH4,min_totalN,min_P,maBasalai,pcnm1_jp,pcnm2_jp,newlabels
Gateway.Hill.M2.1.Min10,jp-M2min1,M02_1LM10_2014,M2,1,Min10,min,GH-jp-M2,Jack Pine,live,01-Dec-82,01-May-83,1983,12.6,1.8,needle litter,09-Sep-14,09-Sep-14,1970,Reclaim,56.99269,111.56274,12,465808,6316713,IMG_3172.JPG,643,Gateway Hill,young,"needles, moss, understorey plants","loamy, tan",14.4,2,Reclaim,2.81,41.5,0.771,0.545,2.11,16,0.092,0,0.464516129,-0.5967484,0.5000002,pine_A1
Gateway.Hill.M2.2.Min10,jp-M2min2,M02_2LM10_2014,M2,2,Min10,min,GH-jp-M2,Jack Pine,live,01-Dec-82,01-May-83,1983,12.6,1.8,needle litter,09-Sep-14,09-Sep-14,1970,Reclaim,56.99269,111.56274,12,465808,6316713,IMG_3172.JPG,643,Gateway Hill,young,"needles, moss, understorey plants","loamy, tan",12,1.5,Reclaim,2.37,50.7,0.114,19,3.89,16.9,0.971,0.3,0.387096774,-0.5967484,0.5000002,pine_A2
Gateway.Hill.M2.3.Min10,jp-M2min3,M02_3LM10_2014,M2,3,Min10,min,GH-jp-M2,Jack Pine,live,01-Dec-82,01-May-83,1983,12.6,1.8,needle litter,09-Sep-14,09-Sep-14,1970,Reclaim,56.99269,111.56274,12,465808,6316713,IMG_3172.JPG,643,Gateway Hill,young,"needles, moss, understorey plants","loamy, tan",11.3,2,Reclaim,13.9,132.2,1.11,12.5,2.81,15.1,0.144,0,0.364516129,-0.5967484,0.5000002,pine_A3
Gateway.Hill.M6.1.Min10,ws-M6min1,M06_1LM10_2014,M6,1,Min10,min,GH-ws-M6,Wt. Spruce,live,01-Dec-85,01-Oct-90,1990,11.4,2.4,needle litter,10-Sep-14,10-Sep-14,1970,Reclaim,56.99657,111.56528,12,465658,6317146,IMG_3190.JPG,661,Gateway Hill,young,"some grass, moss, duff","loamy, tan, many fine roots, peat chunks",10.25,1.6,Reclaim,36.5,52.2,1.02,25.3,8.98,14.6,0.165,0,0.427083333,,,spruce_A1
Gateway.Hill.M6.2.Min10,ws-M6min2,M06_2LM10_2014,M6,2,Min10,min,GH-ws-M6,Wt. Spruce,live,01-Dec-85,01-Oct-90,1990,11.4,2.4,needle litter,10-Sep-14,10-Sep-14,1970,Reclaim,56.99657,111.56528,12,465658,6317146,IMG_3190.JPG,661,Gateway Hill,young,"some grass, moss, duff","loamy, tan, many fine roots, peat chunks",10.2,3.75,Reclaim,39.7,33.6,1.59,45.3,31.5,18,0.296,0.619,0.425,,,spruce_A2
Gateway.Hill.M6.3.Min10,ws-M6min3,M06_3LM10_2014,M6,3,Min10,min,GH-ws-M6,Wt. Spruce,live,01-Dec-85,01-Oct-90,1990,11.4,2.4,needle litter,10-Sep-14,10-Sep-14,1970,Reclaim,56.99657,111.56528,12,465658,6317146,IMG_3190.JPG,661,Gateway Hill,young,"some grass, moss, duff","loamy, tan, many fine roots, peat chunks",13.7,1.75,Reclaim,6.41,22.8,0.547,15.6,21.3,16.8,0.283,2.95,0.570833333,,,spruce_A3
Gateway.Hill.M7.1.Min10,jp-M7min1,M07_1LM10_2014,M7,1,Min10,min,GH-jp-M7,Jack Pine,live,01-Feb-84,01-Jun-90,1990,13.2,3.4,grass&litter,10-Sep-14,10-Sep-14,1970,Reclaim,56.99566,111.56574,12,465629,6317045,IMG_3203.JPG,674,Gateway Hill,young,"grass, undecomposed needles,  Pleurotus on decaying wood","loamy, tan, some coarse gravel, fine roots",13.4,5,Reclaim,50.9,46.9,0.922,17.9,5.29,15.3,0.182,0.575,0.558333333,-0.3793301,-0.5000006,pine_B1
Gateway.Hill.M7.2.Min10,jp-M7min2,M07_2LM10_2014,M7,2,Min10,min,GH-jp-M7,Jack Pine,live,01-Feb-84,01-Jun-90,1990,13.2,3.4,grass&litter,10-Sep-14,10-Sep-14,1970,Reclaim,56.99566,111.56574,12,465629,6317045,IMG_3203.JPG,674,Gateway Hill,young,"grass, undecomposed needles,  Pleurotus on decaying wood","loamy, tan, some coarse gravel, fine roots",14.5,2.75,Reclaim,97.8,79.6,0.841,47,6.89,11.7,1.15,2.16,0.604166667,-0.3793301,-0.5000006,pine_B2
Gateway.Hill.M7.3.Min10,jp-M7min3,M07_3LM10_2014,M7,3,Min10,min,GH-jp-M7,Jack Pine,live,01-Feb-84,01-Jun-90,1990,13.2,3.4,grass&litter,10-Sep-14,10-Sep-14,1970,Reclaim,56.99566,111.56574,12,465629,6317045,IMG_3203.JPG,674,Gateway Hill,young,"grass, undecomposed needles,  Pleurotus on decaying wood","loamy, tan, some coarse gravel, fine roots",11.6,2.5,Reclaim,144.5,102.3,0.172,49.1,9.23,12.7,0.187,0.249,0.483333333,-0.3793301,-0.5000006,pine_B3
Gateway.Hill.M8.1.Min10,sl-M8min1,M08_1LM10_2014,M8,1,Min10,min,GH-sl-M8,Sib. Larch,live,01-Feb-90,01-Sep-90,1990,11.2,5.3,needle litter,10-Sep-14,10-Sep-14,1970,Reclaim,56.99588,111.56616,12,465603,6317070,IMG_3217.JPG,688,Gateway Hill,young,"larch needle matts with F layer, some grass","loamy,  tan, yellowish inclusions, fine roots,",8,6,Reclaim,158.4,76.9,1.49,24.5,11.8,12.7,0.15,0,0.333333333,,,larch_A1
Gateway.Hill.M8.2.Min10,sl-M8min2,M08_2LM10_2014,M8,2,Min10,min,GH-sl-M8,Sib. Larch,live,01-Feb-90,01-Sep-90,1990,11.2,5.3,needle litter,10-Sep-14,10-Sep-14,1970,Reclaim,56.99588,111.56616,12,465603,6317070,IMG_3217.JPG,688,Gateway Hill,young,"larch needle matts with F layer, some grass","loamy,  tan, yellowish inclusions, fine roots,",15.5,4.75,Reclaim,350.3,891.8,1.95,59.2,30,13.4,0.314,0.409,0.645833333,,,larch_A2
Gateway.Hill.M8.3.Min10,sl-M8min3,M08_3LM10_2014,M8,3,Min10,min,GH-sl-M8,Sib. Larch,live,01-Feb-90,01-Sep-90,1990,11.2,5.3,needle litter,10-Sep-14,10-Sep-14,1970,Reclaim,56.99588,111.56616,12,465603,6317070,IMG_3217.JPG,688,Gateway Hill,young,"larch needle matts with F layer, some grass","loamy,  tan, yellowish inclusions, fine roots,",10.1,5,Reclaim,218.3,2158,2.18,73.1,46.1,18.4,0.207,0.436,0.420833333,,,larch_A3
